TMALPI_LH,Magnetizing Prayer,༄༅། །དབང་སྡུད་གསོལ་འདེབས།
TM50S7_LH,The Seed of Faith A Prayer to the Sublime Ones,༄༅། །ཡུལ་དམ་པ་རྣམས་ལ་གསོལ་བ་འདེབས་པ་དད་པའི་ས་བོན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMUG3R_LH,The Powerful Prayer of Aspiration From The Tantra of the Great Perfection That Reveals the All-Penetrating Wisdom Mind of Samantabhadra,༄༅༔ ༔རྫོགས་པ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོའི་དགོངས་པ་ཟང་ཐལ་དུ་བསྟན་པའི་རྒྱུད་ལས༔ སྨོན་ལམ་སྟོབས་པོ་ཆེ་བཞུགས་སོ༔
TMZ80O_LH,"The Wish-Fulfilling Jewel A Daily Sādhana of Noble Avalokiteśvara, the Great Compassionate One",༄༅། །འཕགས་པ་ཐུགས་རྗེ་ཆེན་པོའི་མངོན་རྟོགས་ཡིད་བཞིན་ནོར་བུ་བཞུགས་སོ།།
TMS6BF_LH,"The Jewelled Garland An Aspiration for the Spread of the Teachings of the Omniscient Father and Son, Masters of the Teachings of the Ancient Translations",༄༅། །སྔ་འགྱུར་བསྟན་པའི་བདག་པོ་ཀུན་མཁྱེན་ཡབ་སྲས་ཀྱི་བསྟན་པ་རྒྱས་པའི་སྨོན་ཚིག་ནོར་བུའི་ཕྲེང་བ།
TMXXY7_LH,Prayer for the Tradition of Guru Padmasambhava 1,༄༅། །མཁན་སློབ་ཆོས་གསུམ་རིང་ལུགས་རྒྱས་པའི་སྨོན་ལམ།
TMYLQ1_LH,Blazing Splendour of Good Fortune A Prayer for the Spread of the Teachings of the Katok Tradition,༄༅། །བསྟན་རྒྱས་སྨོན་ལམ་བཀྲ་ཤིས་དཔལ་འབར་ཞེས་བྱ་བ་བཞུགས་སོ།  །
TM7UWN_LH,"Clouds to Delight Amitābha, Melody of the Realm of Great Bliss Aspiration and Auspicious Verses for the Spread of the Teachings of the Lake-Born Vajra of Oḍḍiyāna, Second Teacher of this World",༄༅། །ཞིང་འདིའི་སྟོན་པ་གཉིས་པ་ཨོ་རྒྱན་མཚོ་སྐྱེས་རྡོ་རྗེའི་བསྟན་པ་དར་ཞིང་རྒྱས་པའི་སྨོན་ལམ་ཤིས་བརྗོད་དང་འབྲེལ་བ་བདེ་ཆེན་ཞིང་གི་སྒྲ་དབྱངས་འོད་སྣང་མཐའ་ཡས་དགྱེས་པའི་སྤྲིན་ཕུང་ཞེས་བྱ་བ།  །
TM9RGG_LH,Words to Delight the Lake-Born One A Prayer for the Spread of the Vajrayāna Teachings of the Ancient Translations,༄༅།  །སྔ་འགྱུར་རྡོ་རྗེ་ཐེག་པའི་བསྟན་པ་དར་ཞིང་རྒྱས་པའི་སྨོན་ལམ་མཚོ་སྐྱེས་དགྱེས་པའི་ཞལ་ལུང་།
TM0LI1_LH,"Clouds of Offerings to Delight the Victorious Ones An Aspiration Prayer for the Spread of the Teachings of the Lord of Siddhas, Dzogchen Rinpoche",༄༅། །གྲུབ་དབང་རྫོགས་ཆེན་པའི་བསྟན་པ་རྒྱས་པའི་སྨོན་ལམ་རྒྱལ་བ་དགྱེས་པའི་མཆོད་སྤྲིན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TML212_LH,Words to Delight the Sovereigns of the Dharma A Prayer of Aspiration for the Flourishing and Spread of the Ancient Translation Tradition,༄༅། །སྔ་འགྱུར་བསྟན་པ་རྒྱས་པའི་སྨོན་ལམ་ཆོས་རྒྱལ་དགྱེས་པའི་ཞལ་ལུང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM42P0_LH,A Prayer to the King and Twenty-Five Disciples A Stream of Blessing: Verses of Supplication to the Accomplished Holders of Mantra who Gained Realization in this Snowy Land of Tibet 1,༄༅། །རྗེ་འབངས་ཉེར་ལྔའི་གསོལ་འདེབས།
TM398X_LH,"A Short Prayer to the Abbot, the Master and the King",༄༅། །མཁན་སློབ་ཆོས་གསུམ་གྱི་གསོལ་འདེབས་བསྡུས་པ།
TMKB30_LH,"The Adamantine Magical Wheel Invoking the Profound Pledge of Padmākara, the Glorious Victor, to Avert the Final War",༄༅། །རྒྱལ་དབང་པདྨཱ་ཀ་རའི་ཐུགས་དམ་ཟབ་བསྐུལ་མཐའ་དམག་ཟློག་བྱེད་རྡོ་རྗེའི་འཁྲུལ་འཁོར།
TM177W_LH,Brief Sukhāvatī Aspiration,༄༅། །སྨོན་ལམ་བསྡུས་པ་བཞུགས།
TM5CBX_LH,Dedication of Merit from the Profound Aural Transmission of the Sky-Dharma Mind Treasure's Vajravārāhī Cycle,༁ྂ༔ གནམ་ཆོས་ཐུགས་ཀྱི་གཏེར་ཁ་སྙན་བརྒྱུད་ཟབ་མོ་རྡོ་རྗེ་ཕག་མོའི་སྐོར་ལས་དགེ་བ་བསྔོ་བ་བཞུགས་སོ༔
TMBIVX_LH,The Aspiration of the Vajradhātu Maṇḍala,༄༅། །སྨོན་ལམ་ཕྱོགས་བཅུ་དུས་བཞིའི་མ།
TMFM1L_LH,"Aspiration to Generate Bodhicitta, Utterly Pure and Supreme",༄༅། །རྣམ་དག་བྱང་ཆུབ་མཆོག་ཏུ་སེམས་བསྐྱེད་པའི་སྨོན་ལམ།
TM32FG_LH,The Prayer Which Removes All Obstacles from the Path (Barché Lamsel) Gyalwé Dungdzin 1 Mawé Sengé Kyéchok Tsul Zang Dükyi Shéchen Dzam Ling Gyen Chok Pemajungné Khyépar Pakpé Rigdzin Dzütrul Thuchen Dorjé Drakpo Tsal Kalden Drendzé Rakṣa Tötreng Guru Dechen Gyalpo,༃ གསོལ་འདེབས་བར་ཆད་ལམ་སེལ་བཞུགས༔
TMESAQ_LH,"The Ritual for the Bodhisattva Vow Arranged According to the Tradition of Patrul Rinpoche Recalling the Qualities of the Three Jewels 1 Prayer to the Bodhicitta and the Bodhisattvas The Consecration of the Environment Consecrating the Offerings The Offering Cloud Dhāraṇī Inviting the Buddhas and their Entourages as a Field of Merit Inviting the Buddhas and their Retinues to Remain Offering the Buddhas their Places I. The Preparation The Seven Branches for Gathering the Accumulations 1. Prostration The Prayer in One Verse: The Prayer in Four Verses: The Great Praise of the Twelve Acts of the Buddha 4 The Short Praise of the Buddha’s Deeds 6 The Praise of the Twelve Acts of the Buddha Offering Homage and Prostration 7 i. Prostration 2. Making Offerings The Thirty-Seven Point Maṇḍala Offering Short Maṇḍala Offering The Three-Kāya Maṇḍala Offering Nirmāṇakāya Maṇḍala Offering Saṃbhogakāya Maṇḍala Offering Dharmakāya Maṇḍala Offering Aspirations ii. Offerings (continued) 11 Offering Our Bodies 3. Confession of Harm iii. Confession 4. The Remaining Four Branches 13 iv. Rejoicing v. Imploring the Buddhas to Turn the Wheel of Dharma vi. Requesting the Buddhas Not to Enter Nirvāṇa vii. Dedication Training the Mind in the Four Immeasurables Giving Away of the Three Bases of Clinging The Preliminary Prayer for Requesting the Attention of the Buddhas, Bodhisattvas and Teachers II. The Main Part Taking the Vows of Bodhicitta in Aspiration and Action Combined The Series of Aspiration Prayers III. Conclusion Recitation of the Dhāraṇī of Pure Discipline Aspiration Prayers Afterword",༄༅། །བྱང་སྡོམ་བླང་ཆོག་དཔལ་སྤྲུལ་གསུང་རྒྱུན་ལྟར་བཀོད་པ་བཞུགས་སོ། །
TMGVX7_LH,The Bodhisattva’s Confession of Downfalls 1,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་ལྟུང་བ་བཤགས་པ།
TMJ8PU_LH,The Dhāraṇī of Amitāyus,༄༅། །ཚེ་དཔག་མེད་ཀྱི་གཟུངས།
TM7VSG_LH,The Verses of the Eight Noble Auspicious Ones,༄༅། །འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པའི་ཚིགས་སུ་བཅད་པ།
TMMQNZ_LH,Final Words: The Essential Advice,༄༅། །འདས་ཆེམས་གདམས་པའི་སྙིང་པོ་བཞུགས།
TM6FHN_LH,"The Prayer of the Ground, Path & Fruition",འུྃཿ ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས༔ གཞི་ལམ་འབྲས་བུའི་སྨོན་ལམ་བཞུགས༔
TMYD7H_LH,The Prayer in Six Vajra Lines,༄༅། །རྡོ་རྗེའི་ཚིག་རྐང་དྲུག་གི་གསོལ་འདེབས།
TMOTF7_LH,The Prayer that Swiftly Fulfils All Wishes (Sampa Nyur Drupma),༄༅། །གུ་རུའི་གསོལ་འདེབས་བསམ་པ་མྱུར་འགྲུབ་བཞུགས།
TM9TI8_LH,Essence of the Profound Path A General Visualization for Prayers to Guru Rinpoche 1. Taking Refuge 2. Arousing the Awakened Mind of Bodhicitta 3. The Seven-Branch Offering 4. The Main Visualization 5. Empowerment and Dissolution 6. Dedication of Merit,༄༅། །ཨོ་རྒྱན་རིན་པོ་ཆེའི་གསོལ་འདེབས་སྤྱིའི་རྟེན་བསྐྱེད་མདོར་བསྡུས་ལམ་ཟབ་སྙིང་པོ་བཞུགས་སོ།།
TMZLSQ_LH,The Powerful Prayer of Aspiration From The Tantra of the Great Perfection That Reveals the All-Penetrating Wisdom Mind of Samantabhadra,༄༅༔ ༔རྫོགས་པ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོའི་དགོངས་པ་ཟང་ཐལ་དུ་བསྟན་པའི་རྒྱུད་ལས༔ སྨོན་ལམ་སྟོབས་པོ་ཆེ་བཞུགས་སོ༔
TMIVIY_LH,"The Prayer in Seven Chapters to Padmākara, the Second Buddha Chapter One The Prayer to the Three Kāya Guru The Lineage Prayer",༄༅། །སློབ་དཔོན་སངས་རྒྱས་གཉིས་པའི་གསོལ་འདེབས་ལེའུ་བདུན་མ་བཞུགས་སོ། །
TMSYXQ_LH,Prayer for the Long Life of His Holiness the Dalai Lama,༄༅། །རྒྱལ་དབང་ཐམས་ཅད་མཁྱེན་པའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMMDCV_LH,The Music of Immortality A Prayer for the Long Life of His Holiness the Dalai Lama,༄༅། །གོང་ས་ཆེན་པོར་ཞབས་བརྟན་དུ་གསོལ་བ་འཆི་མེད་སྒྲ་དབྱངས་བཞུགས།
TMAU2W_LH,General Long-Life Prayer,༄༅། །བརྟན་བཞུགས་སྤྱི་འགྲོ་ཆོས་རྒྱལ་གཏེར་བདག་གླིང་པའི་གསུང་།
TMQ9B8_LH,The Melodious Song of Immortality: A Prayer for Long Life,༄༅། །ཞབས་བརྟན་གསོལ་འདེབས་འཆི་མེད་གྲུབ་པའི་དབྱངས་སྙན་ཞེས་བྱ་བ་བཞུགས་སོ།།
TMHYKH_LH,The Quintessence of the Ārya Mañjuśrī Tantra,༄༅། །ཨཱ་རྻ་མཉྫུ་ཤྲཱི་ཏནྟྲ་གརྦྷ༔
TMPQ03_LH,The Praise to Mañjuśrī: Glorious Wisdom’s Excellent Qualities,༄༅། །དཔལ་ཡེ་ཤེས་ཡོན་ཏན་བཟང་པོ་ཞེས་བྱ་བའི་བསྟོད་པ།
TMCZKY_LH,Words to Delight the Sovereigns of the Dharma A Prayer of Aspiration for the Flourishing and Spread of the Ancient Translation Tradition,༄༅། །སྔ་འགྱུར་བསྟན་པ་རྒྱས་པའི་སྨོན་ལམ་ཆོས་རྒྱལ་དགྱེས་པའི་ཞལ་ལུང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM6C9M_LH,The Resounding Drum of Truth A Prayer and Aspiration,༄༅། །གསོལ་འདེབས་སྨོན་ཚིག་བདེན་པའི་རྔ་སྒྲ་བཞུགས་སོ།།
TM1S4C_LH,The Rishi's Maledictory Incantation 1 An Invocation of Wisdom Mind and Sacred Pledges for Reversing the Disturbances and Agitations of Dark Times in the Form of an Aspiration Prayer,༄༅། །བསྐལ་ངན་དུས་ཀྱི་གཡོ་འཁྲུག་ཟློག་པའི་ཐུགས་དམ་རྒྱུད་བསྐུལ་གསོལ་འདེབས་སྨོན་ལམ་དུ་བྱ་བ་དྲང་སྲོང་དམོད་སྔགས་ཞེས་བྱ་བ་བཞུགས་སོ།།
TMYTCS_LH,The Sage's Powerful Words of Truth A Prayer for the Spread of the Omniscient Buddha's Teachings,༄༅། །ཀུན་མཁྱེན་ཐུབ་པའི་བསྟན་པ་རྒྱས་པའི་སྨོན་ལམ་དྲང་སྲོང་ལྷ་ཡི་བདེན་ཚིག
TMMXCF_LH,The Treasury of Blessings A Practice of Buddha Śākyamuni,༄༅།  །ཐུབ་ཆོག་བྱིན་རླབས་གཏེར་མཛོད་བཞུགས་སོ། །
TMDL3J_LH,The Secret Vajra Knot An Aspiration Prayer of the Three Yogas,༄༅། །ཡོ་ག་གསུམ་གྱི་སྨོན་ལམ་རྡོ་རྗེ་རྒྱ་མདུད་ཅེས་བྱ་བ་བཞུགས། །
TM3WLM_LH,Accomplishing the Lama through the Seven-Line Prayer A Special Teaching from the Lama Sangdü,༄༅། །བླ་མ་གསང་འདུས་ལས་གསུངས་པའི་ཁྱད་པར་བླ་སྒྲུབ་ཚིག་བདུན་གསོལ་འདེབས་བཞུགས།
TM5RJC_LH,A Daily 'Hand-Clapping' Practice of Siṃhamukhā,༄༅། །སེང་གདོང་མའི་ཐལ་རྡེབ་རྒྱུན་ཁྱེར།
TMRGZL_LH,The Blazing Tower A Daily Practice of Uṣṇīṣa-Sitātapatrā The Preparation The Main Part The Conclusion,༄༅། །གཙུག་ཏོར་གདུགས་དཀར་མོའི་རྒྱུན་ཁྱེར་འབར་བའི་ཐོག་བརྩེགས།
TM0PNB_LH,A Brief Practice for Paying Homage and Making Offerings to the Buddha Together with His Retinue of Arhats,༄༅། །གནས་བརྟན་ཕྱག་མཆོད།
TMEUBN_LH,The Vajra Words That Radiate Cloud-Masses of Nectar-Like Blessings An Aspiration Prayer Composed by the Master Mahāsiddha Thangtong Gyalpo in the Presence of the Jowo Rinpoche in Lhasa,༄༅། །རྗེ་གྲུབ་ཐོབ་ཆེན་པོས་ལྷ་ལྡན་ཇོ་བོ་རིན་པོ་ཆེའི་དྲུང་དུ་གསོལ་འདེབས་གནང་བའི་རྡོ་རྗེའི་གསུང་བྱིན་རླབས་བདུད་རྩིའི་སྤྲིན་ཕུང་འཕྲོ་བ། །
TM3GK5_LH,The Verses That Saved Sakya from an Epidemic A Prayer for Quelling the Fear of Diseases,༄༅། །གྲུབ་ཐོབ་ཐང་སྟོང་རྒྱལ་པོའི་རྡོ་རྗེའི་གསུང་ནད་ཀྱི་འཇིགས་པ་ཞི་བའི་གསོལ་འདེབས་ས་སྐྱ་ནད་གྲོལ་མ།
TM4SRA_LH,The Prayer of The Words of Truth,༄༅། །བདེན་གསོལ་སྨོན་ཚིག །
TMJU76_LH,The Mahāguru Prayer,༄༅། །མ་ཧཱ་གུ་རུ་གསོལ་འདེབས། །
TMB9OO_LH,A Garland of Utpala Flowers Prayer to the Masters of the Lineage of Zabtik Drolchok,༄༅། །དགོངས་གཏེར་སྒྲོལ་མའི་བརྒྱུད་འདེབས་ཨུཏྤ་ལའི་ཕྲེང་བ་བཞུགས།
TMXQX8_LH,The Prayer that Swiftly Fulfils All Wishes (Sampa Nyur Drupma),༄༅། །གུ་རུའི་གསོལ་འདེབས་བསམ་པ་མྱུར་འགྲུབ་བཞུགས།
TMPFS1_LH,Prayer from the Lama Yangtik,༄༅། །བླ་མ་ཡང་ཏིག་གི་གསོལ་འདེབས།
TM9VF5_LH,The Three Statements that Strike the Vital Point,༄༅། །ཚིག་གསུམ་གནད་དུ་བརྡེགས་པ།
TMN8CB_LH,Prayer from the Vima Nyingtik,༄༅། །བི་མ་སྙིང་ཐིག་གི་གསོལ་འདེབས།
TMQG5A_LH,"Prayer to the Lineage of the Great Heart-Essence, the Pith Instruction Section of the Great Perfection",༄༅། །རྫོགས་པ་ཆེན་པོ་མན་ངག་སྡེ་སྙིང་ཏིག་ཆེན་མོའི་བརྒྱུད་པའི་གསོལ་འདེབས།
TM22B3_LH,Offering the Eight Auspicious Substances and Seven Emblems of Royalty Eight Auspicious Substances Seven Emblems of Royalty,༄༅། །རྫས་བརྒྱད་སྣ་བདུན་སྦྱིན་ཚུལ།
TMCQ45_LH,The Offering Clouds of the Indestructible Ladies of Sound Concise Garland of Offerings of the Sixteen Vajra Goddesses,༄༅། །རྡོ་རྗེའི་ལྷ་མོ་བཅུ་དྲུག་གི་མཆོད་ཕྲེང་མདོར་བསྡུས་པ་རྡོ་རྗེ་སྒྲ་མའི་མཆོད་སྤྲིན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMIOKM_LH,The Lute of the Gandharvas A Garland of Offerings of the Sixteen Vajra Goddesses 1. The mudrās of the four outer beauties 2. The mudrās of the four inner beauties 3. The mudrās of the five secret consorts 4. The mudrās of the three common goddesses of the senses,༄༅།  །རྡོ་རྗེའི་ལྷ་མོ་བཅུ་དྲུག་གི་མཆོད་ཕྲེང་དྲི་ཟའི་རྒྱུད་མང་ཞེས་བྱ་བ་བཞུགས།
TMOYHO_LH,Offering to the Nāgas of Gangtok,༄༅། །སྒང་ཐོག་གི་ཀླུ་མཆོད་བཞུགས་སོ།
TM5DJ4_LH,Töpa Gyatsoma Offering Prayer,༄༅། །ཐོས་པ་རྒྱ་མཚོ་མ་བཞུགས།
TMV4OK_LH,The Wish-Granting King of Jewels: An Essential Garland of Offerings,༄༅། །མཆོད་ཕྲེང་ཡང་སྙིང་ཡིད་བཞིན་དབང་རྒྱལ་བཞུགས།
TMGWNO_LH,Great Clouds of First-Portion Offerings for Prosperity,༄༅། །ཕུད་མཆོད་ཕྱྭ་གཡང་སྤྲིན་ཆེན་བཞུགས།
TMBFNV_LH,White and Red Sur Offerings That Are Very Easy to Apply White Sur Red Sur Elaborate Aspiration,༄༅། །གསུར་མཆོད་དཀར་དམར་ཤིན་ཏུ་ཁྱེར་བདེ་བཞུགས་སོ། །
TM2K7I_LH,Brief Red Sur,༄༅། །དམར་གསུར་མདོར་བསྡུས།
TMYC8T_LH,Brief Sur Offering,༄༅། །གསུར་མཆོད་མདོར་བསྡུས།
TM310K_LH,"A Means of Offering Sur to the Damsi, Gyalgong and Others",༄༅། །དམ་སྲི་རྒྱལ་འགོང་སོགས་ལ་གསུར་སྦྱིན་གཏོང་ཚུལ།
TMWI23_LH,"Freedom from All Adversity A Sur Offering to Harmful Influences, Obstacle-Makers and Elemental Spirits",༄༅། །གདོན་བགེགས་འབྱུང་པོའི་གསུར་བསྔོ་རྐྱེན་ངན་ཀུན་གྲོལ་བཞུགས་སོ། །
TME70K_LH,From the Pure Vision: The Verse for Offering Water:  An Ocean of Accomplishments,༄༅། །དག་སྣང་ལས༔ ཡོན་ཆབ་འབུལ་བའི་ཚིག་རྐང་དངོས་གྲུབ་རྒྱ་མཚོ་བཞུགས་སོ༔
TMM7XD_LH,Palchen Düpa Lineage Prayer Supplementary Verses,༄༅། །དཔལ་ཆེན་བརྒྱུད་འདེབས་བཞུགས།
TM1OWR_LH,"Wisdom Essence of the Mighty One A Daily Practice of Hayagrīva's Play of the Three Realms, from the Ocean of Gathered Teachings of the Awesome Ones Lineage Prayer 2 Prayer in Eight Branches The Main Part: Visualizing the Generation Phase 2. The Stages of Recitation 3. Dissolution and Re-Emergence of the Deities’ Appearance The Conclusion: Dedication and Aspiration",༄༅། །དཔལ་ཆེན་བཀའ་འདུས་རྒྱ་མཚོ་ལས། རྟ་མགྲིན་ཁམས་གསུམ་རོལ་པའི་རྒྱུན་ཁྱེར་དབང་ཆེན་ཐུགས་ཐིག
TMWHBZ_LH,"The Essential Activity Manual for the Awesome Ones’ Assembly, the Heart Practice of Vidyādharas, from the Heart Essence of the Vast Expanse 1. Gathering the Accumulations 2. Establishing the Boundary 3. Blessing the Offerings 4. Generating the Deity 5. Granting the Empowerment 6. Inviting the Wisdom Deities 7. Requesting Them to Remain 8. Paying Homage 9. Making Offerings 10. Offering Praise 11. Mantra recitation 1. The Peaceful Approach 2. The Wrathful Accomplishment 3. Application of Activities 12. The Feast-gathering The Blessing The Invitation The First Portion The Intermediate Offering of Confession The Liberation Dedicating the Remainder Aspiration Prayer 13. The Conclusion 1. Receiving the Accomplishments 2. Confession of Mistakes 3. The Dissolution and Re-emergence 4. Dedication and Aspiration 5. Prayer of Auspiciousness",༄། །ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས། རིག་འཛིན་ཐུགས་སྒྲུབ་དཔལ་ཆེན་འདུས་པའི་ཕྲིན་ལས་སྙིང་པོར་དྲིལ་བ་བཞུགས་སོ།།
TMX2FT_LH,"The Single Mudrā A Daily Practice for the Awesome Ones’ Assembly (Palchen Düpa), the Heart Practice of the Awareness-Holders 1. The Main Part 1. The Preliminaries of Gathering the Accumulations 2. The Main Part of Generation and Recitation 1. The Generation of the Deity 2. The Mantra Recitation 1. The Approach 2. The Accomplishment 3. The Concluding Practices The Dissolution and Re-emergence Dedication 2. An Additional Practice",༄༅། །རིག་འཛིན་ཐུགས་སྒྲུབ་དཔལ་ཆེན་འདུས་པའི་རྒྱུན་ཁྱེར་ཕྱག་རྒྱ་གཅིག་པ་བཞུགས་སོ། །
TMB513_LH,Dhāraṇī of Goddess Parṇaśavarī,༄༅། །ལྷ་མོ་ལོ་མ་གྱོན་མའི་གཟུངས་བཞུགས། །
TMBXW5_LH,A Prayer to Parṇaśavarī,༄༅། །ལོ་གྱོན་མའི་གསོལ་འདེབས་བཞུགས༔
TMP1SC_LH,A Prayer to Goddess Parṇaśavarī,༄༅། །ལྷ་མོ་པརྞ་ཤ་ཝ་རིའི་གསོལ་འདེབས།
TM65L2_LH,Supplement to the Omniscient Ngorchen Kunga Zangpo’s Prayer to the Lineage of Parting from the Four Attachments,༄༅། །ངོར་ཆེན་ཐམས་ཅད་མཁྱེན་པ་ཀུན་དགའ་བཟང་པོས་མཛད་པའི་བློ་སྦྱོང་ཞེན་པ་བཞི་བྲལ་གྱི་བརྒྱུད་འདེབས་ཀྱི་ཁ་སྐོང་ནི།
TM5X5J_LH,Prayer to the Lineage of Parting from the Four Attachments,༄༅། །ཞེན་པ་བཞི་བྲལ་གྱི་བརྒྱུད་འདེབས།
TM9I0P_LH,Longevity Practice for the Peaceful and Wrathful Deities of Droltik,༄༅། །གྲོལ་ཏིག་ཞི་ཁྲོའི་ཚེ་སྒྲུབ།
TMH5UD_LH,Highway of the Great Yoga A Daily Practice for the Peaceful and Wrathful Deities of the Self-Liberated Wisdom Mind 1,༄༅། །ཞི་ཁྲོ་དགོངས་པ་རང་གྲོལ་གྱི་རྒྱུན་ཁྱེར་རྣལ་འབྱོར་ཆེན་པོའི་གཞུང་ལམ་ཞེས་བྱ་བ་བཞུགས།
TMVABG_LH,An Aspiration to Travel to the Hidden Land of Pemokö,༄༅། །སྦས་ཡུལ་པདྨོ་བཀོད་དུ་བགྲོད་བའི་སྨོན་ལམ་བཞུགས་སོ།།
TM5XMD_LH,"A Brief Petitionary Offering to the Mātṛkā Pukkasī, Local Protectress of the Jarung Kashor Stūpa",༄༅། །མཆོད་རྟེན་བྱ་རུང་ཁ་ཤོར་གྱི་ཞིང་སྐྱོང་མ་མོ་པུཀྐ་སིའི་གསོལ་མཆོད་མདོར་བསྡུས་བཞུགས་སོ། །
TMD4RO_LH,Prayer to the Three Great Stūpas of Kathmandu,༄༅། །མཆོད་རྟེན་རྣམ་གསུམ་ལ་གསོལ་འདེབས་བཞུགས།།
TMZ5UG_LH,Short Prayer to the Three Great Stūpas of Nepal 1,༄༅། །བལ་ཡུལ་མཆོད་རྟེན་རྣམ་གསུམ་གྱི་གསོལ་འདེབས།
TMR658_LH,A Prayer to the Stūpa of Jarung Khashor in Boudha,༄༅།  །མཆོད་རྟེན་བྱ་རུང་ཁ་ཤོར་ལ་གསོལ་བ་འདེབས་པ་བཞུགས་སོ། །
TMRXQ7_LH,A Prayer to the Svayambhū Stūpa 1 in Nepal,༄༅། །བལ་ཡུལ་མཆོད་སྡོང་འཕགས་པ་ཤིང་ཀུན་ལ་གསོལ་འདེབས་བཞུགས།
TM86NY_LH,A Prayer to the Three Stūpas of Nepal,༄༅། །ནཻ་པ་ལའི་མཆོད་རྟེན་རྣམ་གསུམ་གྱི་གསོལ་འདེབས་བཞུགས་སོ། །
TMTKCX_LH,"Gathering Auspiciousness A Prayer of Aspiration Made in the Presence of the Sacred Mahābodhi Temple and its Imagery, Magadha, Land of the Āryas",༄༅། །འཕགས་ཡུལ་མ་ག་དྷའི་བྱང་ཆུབ་ཆེན་པོའི་བཞུགས་གནས་རྟེན་དང་བརྟེན་པར་བཅས་པའི་གསོལ་སྨོན་བཀྲ་ཤིས་འཁྱིལ་བ་བཞུགས་སོ།།
TMFD9I_LH,In Praise of Yangleshö in Nepal,༄༅། །བལ་ཡུལ་ཡང་ལེ་ཤོད་ཀྱི་གནས་བསྟོད་བཞུགས།
TM48II_LH,Prayer of Aspiration to the Stūpa “Bodily Sacrifice to the Tigress”,༄༅། །སྟག་མོ་ལུས་སྦྱིན་མཆོད་སྡོང་ལ་གསོལ་སྨོན་བཞུགས་སོ། །
TMH6QR_LH,A Prayer to Jowo Rinpoche Combined with Aspirations and a Means to Receive the Four Empowerments,༄༅། །ཇོ་བོ་རིན་པོ་ཆེར་གསོལ་འདེབས་སྨོན་ལམ་དང་འབྲེལ་བར་དབང་བཞི་ལེན་ཚུལ་བཞུགས།
TMGBG0_LH,Upon Arriving at Yangleshö,༄༅། །བལ་ཡུལ་ཡང་ལེ་ཤོད་ཀྱི་གནས་མཆོག་ཏུ་སོན་སྐབས།
TMEIAU_LH,An Aspiration to Travel to the Hidden Land of Pemokö,༄༅། །སྦས་ཡུལ་པདྨོ་བཀོད་དུ་བགྲོད་བའི་སྨོན་ལམ་བཞུགས་སོ།།
TMDMLO_LH,The Sun that Causes the Lotus of Intelligence to Bloom In Praise of the Lineage of Gurus for the Noble Abhidharma,༄༅། །དམ་ཆོས་མངོན་པའི་བླ་མ་བརྒྱུད་པ་རྣམས་ལ་བསྟོད་པ་བློ་གྲོས་ཀྱི་པདྨོ་རྒྱས་པར་བྱེད་པའི་ཉི་མ་ཞེས་བྱ་བ།
TMW6TV_LH,Verses in Praise of the Protector Akṣobhya,༄༅། །མགོན་པོ་མི་འཁྲུགས་པའི་བསྟོད་པ་ཚིགས་སུ་བཅད་པ། །
TMF8M2_LH,Praise of Noble Avalokiteśvara,༄༅། །འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་བསྟོད་པ།
TMV2C3_LH,Short Praise of the Buddha's Deeds,༄༅། །ཐུབ་པའི་བསྟོད་པ་གང་ཚེ་རྐང་གཉིས་མ། །
TMJ4FV_LH,Great Praise of the Twelve Acts of the Buddha,༄༅། །ཐུབ་པའི་བསྟོད་པ་ཐབས་མཁས་ཐུགས་རྗེ་མ།
TMVH1W_LH,The Excellent Bilva Tree of Auspiciousness Praise and Prayer to Terchen Chokgyur Lingpa,༄༅། །གཏེར་ཆེན་མཆོག་གྱུར་གླིང་པ་ལ་བསྟོད་ཅིང་གསོལ་བ་འདེབས་པ་བཀྲ་ཤིས་བིལ་ཝའི་ལྗོན་བཟང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMZPLO_LH,In Praise of Dezhung Choktrul Rinpoche,༄༅། །སྡེ་གཞུང་མཆོག་སྤྲུལ་རིན་པོ་ཆེའི་བསྟོད་པ།
TML0V6_LH,"Praise of Kunga Yeshe, Great Being and Master of Extensive Scriptural Traditions",༄༅། །བདག་ཉིད་ཆེན་པོ་གཞུང་ལུགས་རབ་འབྱམས་པ་ཀུན་དགའ་ཡེ་ཤེས་ལ་བསྟོད་པ་བཞུགས་སོ།།
